mjd,val
60619.01040326,33203746.0727682
60619.01041484,33203731.3673716
60619.01042642,33203735.5935249
60619.010438,33203724.8349476
60619.01044958,33203731.5043096
60619.01046115,33203728.0940695
60619.01047273,33203728.0958481
60619.01048431,33203731.1044187
60619.01049588,33203740.3789483
60619.01050747,33203713.0440168
60619.01051904,33203743.2845039
60619.01053062,33203735.3224821
60619.0105422,33203733.5181475
60619.01055378,33203728.13795
60619.01056536,33203745.4284496
60619.01057694,33203743.8148699
60619.01058851,33203735.0671615
60619.0106001,33203734.0096817
60619.01061167,33203733.9335509
60619.01062325,33203741.4013776
60619.01063483,33203752.9249735
60619.0106464,33203714.9129925
60619.01065799,33203737.7625799
60619.01066956,33203737.9049645
60619.01068114,33203722.2884874
60619.01069272,33203718.1683636
60619.0107043,33203741.3829002
60619.01071587,33203728.8277025
60619.01072745,33203738.2900076
60619.01073903,33203750.1957321
60619.01075061,33203724.5694743
60619.01076219,33203717.4266882
60619.01077377,33203748.6068945
60619.01078534,33203719.3957433
60619.01079692,33203739.0398903
60619.0108085,33203747.7772942
60619.01082008,33203735.9349975
60619.01083165,33203766.311225
60619.01084323,33203704.3818597
